"","GSM307000","GSM307012","GSM307013","GSM307018","GSM307020","GSM307023","GSM307028","GSM307030","GSM307031","GSM307032","GSM307053","GSM307072"
"210979_at",2.84508205508789,2.68121827183195,2.78078372209146,2.87114364041545,2.39356810185807,2.73247700346903,2.67223496081398,2.70391122114995,2.95440920971739,2.64677660147536,2.67223496081398,2.56133820990673
"210980_s_at",6.07878595507978,6.57679265339846,6.03127272681745,5.94773148462125,6.28829601069089,6.3303733991756,6.72317340713747,6.57679265339846,6.27520668438957,6.65786242590942,6.06276927971285,6.47055216608606
"210981_s_at",5.78883819020858,6.11711430651194,5.87246770530471,5.7914761104292,5.87638414673533,5.86265682571928,6.03850374633507,5.87222468173945,5.9624108076858,6.29622711353683,5.05543198306005,5.84204480763271
"210982_s_at",9.11721985247097,9.9603720517523,9.87243933368453,9.75139388148672,10.1345205607122,10.158308597846,10.2451542963622,9.72459120022222,9.55136234298142,9.4093840275129,10.0203163796098,10.0809013323908
"210983_s_at",8.9223197264683,9.20900333963227,8.83523919452905,9.15671786811868,8.54745848812887,8.91217140665865,8.29507828136778,8.48130263648357,8.32522796034427,8.54879819365678,8.11075392753626,8.06725480628234
"210984_x_at",5.03452610117372,4.74927034505228,4.56971221625526,5.07222718628987,5.1352914777722,5.14703920611391,4.95651224984914,5.10840360596054,4.9473989341497,5.3709003551162,5.28028954026616,5.01668046908483
"210985_s_at",2.95216937110509,3.19929866615206,3.31541458579688,3.20024995265695,3.08492926161221,3.01898135185157,2.96623014019438,2.84104653309484,3.08705518170355,3.33042617020658,2.94686498785658,3.08155083123912
"210986_s_at",8.34866038875079,7.87012980975259,8.1733841743374,7.77035890792743,7.37589121720001,8.06257128708078,7.94248074885583,7.52675080015316,7.77796828819419,6.56808315995603,6.63617136458496,7.30300490471374
"210987_x_at",8.15676149909252,7.78800394389454,7.93177132230588,7.63097724949761,7.39541418390736,7.96133976518621,8.09880112013183,7.48068274112283,8.10876864578239,7.12085712594851,6.5918302981143,7.49948210942618
"210988_s_at",5.5657971954703,5.70503657770153,5.30556357266416,6.00974752283115,5.41403852191739,5.38041889384948,5.56867214658053,5.43953895875175,5.4048656072295,5.39084846713478,4.20681582107754,4.69705737582045
"210989_at",2.72445857977668,2.54131000809083,2.66597886595751,2.50947086064612,2.67129168572699,2.28260018980733,2.5032491130252,2.3295153698363,2.73384348484217,2.46287088717764,2.43251474366629,2.54161964806005
"210990_s_at",4.44166653771714,4.49855514601399,4.37194283338517,4.44436565169089,4.35635984812896,4.31587651546695,4.39096995141291,4.4738487919917,4.30317118206166,4.62172748791961,5.27193997857825,4.66133294590548
"210991_s_at",3.70090351493114,3.7274712998306,3.89986291828183,4.10121796363661,3.95932478234459,3.99520787070343,4.03736788166323,3.9413866209257,4.03736788166323,4.25893705623601,3.91739146537506,3.84428789209354
"210992_x_at",5.17056589882185,5.07293212981491,5.06933366156594,5.02618586958792,4.82767842931044,5.45907534389779,6.33673640147913,4.29006141431833,4.54766784316716,4.78475255028142,4.74418899210982,5.17056589882185
"210993_s_at",6.41003624920569,6.55215196912019,6.32710545169967,6.40363878103654,5.04281868413041,6.319521856997,6.35645549655337,6.46287981414506,6.55467141545578,6.29353160508039,5.01668046908483,6.18710506878999
"210994_x_at",3.29464519259277,3.4168633754729,2.96226613860894,3.46877511363305,3.44092463888361,3.20739760129973,3.40716607940941,3.27179519364898,3.30353636405648,3.26284937657989,3.50317631559782,3.21756839640955
"210995_s_at",2.924964925299,3.20831129205761,3.03663139672798,3.18571148767932,3.00720183629806,2.85400631991072,3.12502638734493,3.36056346069278,3.0325279621146,3.32060772990718,3.02553712763404,2.90733451441064
"210996_s_at",9.95949468605643,10.0756749596853,9.72874727991803,9.84889225375882,9.87874230519365,10.1161270346737,9.39442725392682,9.69380603002744,9.60302232310218,9.63845684872954,9.48528508454446,9.32499203117349
"210997_at",3.28224062244403,5.29561064330053,3.0780360961288,4.4312014311764,3.55191028830364,3.5300599237602,3.20039352548878,4.33060938392396,3.1173222936928,4.11702363500108,3.20854442739489,3.17658927678178
"210998_s_at",3.50772501296982,4.30816605320471,3.5790645701213,4.22343146428229,3.12432415343755,3.85389094035907,3.38878684000588,4.05464575443053,3.49169847720387,3.86052757278756,3.55839935837253,3.61398963174214
