"logFC","AveExpr","t","P.Value","adj.P.Val","B","Probe_ID"
-0.485454602254085,10.3563246618947,-5.11412013757711,0.000650239165577449,0.0222851967562597,-0.0521361975657069,"200043_at"
-0.281684638649004,9.55190728859798,-3.6180259631656,0.00566883867562154,0.0680780157287445,-2.23039750913222,"200044_at"
-0.0471019894935172,7.59505111954106,-0.567149419455513,0.584596033779317,0.782258880616402,-6.40104659090747,"200045_at"
-0.201477096423837,9.82321914665408,-1.88041696490251,0.0930276950090461,0.309177011252465,-4.95461329448031,"200046_at"
0.040207003073043,8.44882794081655,0.235169478175865,0.819385363055439,0.916989480245194,-6.54326301367216,"200047_s_at"
0.050948267372082,10.2306195552702,0.517799351697411,0.617190145852563,0.802399680607615,-6.42929644106018,"200048_s_at"
0.229324663613514,7.48918358892349,1.84611097322084,0.0982404501327536,0.317840735327436,-5.00443664515434,"200049_at"
-0.369658703274978,8.15602199912111,-2.46166091586087,0.0362761934156162,0.188417990375305,-4.06598685705126,"200050_at"
-0.0690984603502836,6.73611284402825,-0.663377771223649,0.523855156725564,0.743445000566904,-6.33915862764787,"200051_at"
-0.203275714697016,9.0676550213275,-1.98004375113879,0.0793292551644638,0.283895363235461,-4.80782834665954,"200052_s_at"
-0.0448974058045119,8.432408109492,-0.530626441812424,0.608628339153256,0.797288870800402,-6.42218515703573,"200053_at"
-0.248343234672468,6.87804110199452,-2.71456176456451,0.0239991622090004,0.150085161747133,-3.66412199384782,"200054_at"
0.165828677331211,9.75461578238862,1.31412601926876,0.221580764862233,0.481952226014056,-5.71387508682374,"200055_at"
0.00465240701194887,6.76746873356467,0.0274916733536388,0.978672612094158,0.992619276070914,-6.57291897346798,"200056_s_at"
-0.195989504972607,11.7089772388418,-2.2227426946898,0.0535731638906964,0.232251700830265,-4.43940874337858,"200057_s_at"
-0.0287169770974012,9.31748027451908,-0.377313594153198,0.71475809804291,0.86216772769352,-6.49631001682924,"200058_s_at"
0.0318430972202825,10.6086155645664,0.38139542736736,0.711832748243976,0.860408230344616,-6.49464828539514,"200059_s_at"
-0.0705829285277673,8.74591512872274,-0.800518335533571,0.444201019210992,0.68737608397911,-6.23603357333192,"200060_s_at"
0.133486690138449,13.1658679369168,1.77749459388739,0.109496069526409,0.335653065286281,-5.10287376224877,"200061_s_at"
0.136908562771377,13.0291764950256,1.75464379370843,0.11350278497644,0.342009054588228,-5.1352753691215,"200062_s_at"
-0.150228074520983,12.3827839204647,-1.57399329032257,0.150231203466963,0.395609994679831,-5.38394404055831,"200063_s_at"
-0.12823938414172,11.8115824754081,-1.60009121046512,0.144333554731324,0.38734111537763,-5.34890002513477,"200064_at"
-0.0447853072462951,10.1511934841278,-0.58163804718669,0.57520771494396,0.776929743879621,-6.39229872604458,"200065_s_at"
0.0173421108608426,7.98211549793486,0.183686408696141,0.858365761004595,0.936976384648146,-6.55496444905806,"200066_at"
0.11833775812426,9.19306182626684,1.52327978383395,0.162310488635999,0.41139956256049,-5.45111569588182,"200067_x_at"
-0.25748775046199,10.7552990568311,-1.93243088884998,0.0856184905980167,0.295800731242559,-4.87835176208654,"200068_s_at"
-0.454659540184514,6.17559804930723,-4.10113036013053,0.00272123793718288,0.0458433732383207,-1.49237951913678,"200069_at"
0.0656294247585237,6.77075537631324,0.719912459088585,0.490005087528753,0.720845455102359,-6.29872147853031,"200070_at"
-0.0177130907604092,7.84567290457774,-0.082892601695245,0.935766673495866,0.97402595512163,-6.56958510803225,"200071_at"
-0.4032416310088,9.64573817982067,-3.9347275831441,0.00349146107405103,0.0524119126325033,-1.74329243741917,"200072_s_at"
-0.520876108186442,8.73901470477204,-4.51371205876564,0.00149195360087471,0.0335429455824215,-0.887034617839102,"200073_s_at"
-0.0442121340793702,12.0105665178243,-0.570163780589416,0.582635899712678,0.780913094988155,-6.3992434619758,"200074_s_at"
-0.0921122198919245,7.88862607016928,-0.885884962568382,0.398924325605048,0.649575118887775,-6.16343465853267,"200075_s_at"
-0.0931094545860447,7.46179660900742,-1.0948903766638,0.302236770661833,0.564575716279699,-5.96063133630135,"200076_s_at"
