"gene_id","WT_1","WT_2","IR1_1","IR1_2","IR2_1","IR2_2"
"ENSG00000219481.6",998,882,1364,1681,1193,949
"ENSG00000271732.1",12,16,18,9,21,19
"ENSG00000215908.5",3001,2583,2835,2989,2472,2903
"ENSG00000186301.7",118,96,105,181,129,103
"ENSG00000236698.1",5,10,9,14,9,6
"ENSG00000268869.1",26,23,79,115,70,96
"ENSG00000058453.12",317,253,469,622,419,532
"ENSG00000186715.6",80,49,60,112,122,47
"ENSG00000228549.2",7,6,69,68,66,34
"ENSG00000207005.1",44,39,44,66,42,18
"ENSG00000159363.13",1244,1067,1272,1923,1376,805
"ENSG00000117118.5",1299,1204,1552,2064,1746,488
"ENSG00000117115.8",17,10,8,31,17,6
"ENSG00000142623.8",10,14,6,27,19,10
"ENSG00000142619.4",10,18,12,22,33,11
"ENSG00000159339.9",16,17,10,30,22,8
"ENSG00000256049.2",10,11,5,31,14,8
"ENSG00000179051.9",4883,4663,6239,7999,6917,3904
"ENSG00000074964.12",30,40,17,50,59,32
"ENSG00000117148.6",9,5,87,119,159,77
"ENSG00000179023.7",9,10,14,17,31,13
"ENSG00000009709.7",5,2,13,45,8,7
"ENSG00000179002.5",4,3,1,10,21,1
"ENSG00000159423.12",146,161,217,291,220,119
"ENSG00000169991.6",14,27,32,36,41,33
"ENSG00000272084.1",39,28,62,51,60,47
"ENSG00000127481.10",21309,18657,33681,42569,35721,25569
"ENSG00000266098.1",13,18,24,28,15,17
"ENSG00000230424.1",53,42,35,60,62,57
"ENSG00000127463.9",2049,1816,2190,2846,2631,1554
"ENSG00000053372.4",1043,786,1240,1425,1495,873
"ENSG00000211454.9",25,19,30,41,42,52
"ENSG00000162482.4",29,26,51,59,77,65
"ENSG00000270728.1",42,36,38,51,44,41
"ENSG00000053371.8",1164,1176,1111,1515,1252,517
"ENSG00000040487.8",436,428,470,638,772,574
"ENSG00000077549.13",2732,2438,2958,3885,3467,1518
"ENSG00000173436.9",230,200,297,335,335,144
"ENSG00000226396.1",54,55,41,67,53,116
"ENSG00000158747.9",23,20,3,29,25,9
"ENSG00000162542.9",20,18,91,121,188,117
"ENSG00000169914.5",924,779,1303,1319,1035,977
"ENSG00000187980.6",8,7,10,8,25,15
"ENSG00000225986.1",16,24,38,65,52,26
"ENSG00000162543.5",163,115,458,630,599,346
"ENSG00000158816.11",42,20,23,65,32,19
"ENSG00000162545.5",12,14,81,88,169,183
"ENSG00000090432.5",377,358,470,587,583,298
"ENSG00000183114.6",18,8,16,35,89,65
"ENSG00000158828.5",139,137,238,296,303,185
"ENSG00000117242.7",29,40,28,42,55,37
"ENSG00000244038.5",3116,2672,2643,4213,3445,972
"ENSG00000117245.8",30,23,31,53,35,23
"ENSG00000189410.7",17,15,16,39,29,30
"ENSG00000127483.13",6132,5434,8190,8907,7306,6697
"ENSG00000075151.15",1130,995,2138,2330,1981,2023
"ENSG00000233072.1",1,3,11,4,14,5
"ENSG00000235112.1",16,10,37,26,34,21
"ENSG00000266867.1",2,4,9,11,14,10
"ENSG00000117298.10",740,688,2066,2725,3091,2057
"ENSG00000236936.1",3,4,10,11,18,10
"ENSG00000231105.1",5,3,21,16,17,20
"ENSG00000227001.2",8,17,15,11,31,9
"ENSG00000142794.14",170,123,187,221,202,175
"ENSG00000162551.9",22,10,9,30,41,14
"ENSG00000076864.15",2826,2520,1728,2199,1718,1308
"ENSG00000090686.11",4420,3807,5738,6739,5395,4346
"ENSG00000231978.2",17,13,18,13,10,21
"ENSG00000187942.7",31,19,29,42,22,26
"ENSG00000142798.12",19451,16721,19449,26996,14604,11257
"ENSG00000232037.2",13,1,21,18,10,14
"ENSG00000219073.3",7,5,11,8,16,6
"ENSG00000142789.15",9,6,6,11,15,4
"ENSG00000218510.3",118,147,126,186,190,65
"ENSG00000070831.11",2818,2577,3007,3758,3403,1363
"ENSG00000230068.2",22,33,22,30,34,29
"ENSG00000271428.1",10,13,18,14,4,13
"ENSG00000271840.1",12,20,25,23,38,22
"ENSG00000162552.10",30,23,25,56,60,46
"ENSG00000184677.12",1659,1394,2622,3068,2748,2179
"ENSG00000237200.1",13,11,23,25,21,30
"ENSG00000070886.6",22,22,15,33,34,15
"ENSG00000133216.12",26,18,14,66,55,18
"ENSG00000215906.4",6,4,6,14,26,14
"ENSG00000004487.11",5986,5177,8153,10270,6355,4272
"ENSG00000240553.1",45,62,58,54,32,28
"ENSG00000266802.1",11,15,4,3,4,3
"ENSG00000169641.9",1084,931,1406,1596,1612,1089
"ENSG00000229010.1",13,20,14,31,28,18
"ENSG00000252578.1",1,5,4,2,14,11
"ENSG00000179546.3",13,2,3,14,28,9
"ENSG00000261326.2",273,232,367,335,268,317
"ENSG00000125944.14",4822,4222,4860,5932,4754,3059
"ENSG00000125945.10",262,249,404,532,361,226
"ENSG00000249087.3",328,261,290,367,280,235
"ENSG00000204219.5",27,17,28,29,39,28
"ENSG00000088280.14",1105,910,730,913,903,752
"ENSG00000007968.6",859,732,615,892,844,654
"ENSG00000117318.8",1165,1163,233,289,609,312
"ENSG00000142676.8",18760,16643,18108,21946,17647,7241
"ENSG00000203589.2",16,17,24,13,21,25
"ENSG00000244609.2",5,9,9,28,15,9
"ENSG00000011007.8",1084,925,1212,1472,1500,1096
"ENSG00000236810.1",70,58,106,112,97,75
"ENSG00000057757.5",1268,1031,1265,1621,1315,699
"ENSG00000011009.6",984,791,1093,1462,1353,627
"ENSG00000117308.10",707,602,951,1224,1110,613
"ENSG00000117305.10",655,594,750,940,910,397
"ENSG00000179163.11",241,236,251,357,331,115
"ENSG00000189266.7",908,752,1068,1340,1082,711
"ENSG00000188529.10",933,809,902,1100,1014,755
"ENSG00000142661.14",24,19,19,42,46,21
"ENSG00000142677.3",8,13,3,18,22,8
"ENSG00000185436.7",7,5,10,22,24,7
"ENSG00000158055.11",11,7,9,19,28,15
"ENSG00000001460.13",162,108,151,205,195,145
"ENSG00000001461.12",764,670,1142,1459,1268,858
"ENSG00000117602.7",25,13,31,56,49,36
"ENSG00000133226.12",4809,4115,4342,5435,4036,3884
"ENSG00000169504.10",943,847,1205,1490,1423,826
"ENSG00000020633.14",20,8,6,18,9,9
"ENSG00000117614.5",948,756,879,1137,992,539
"ENSG00000117616.13",3053,2670,2587,3183,3192,3024
"ENSG00000272432.1",12,7,11,27,11,26
"ENSG00000261349.1",184,163,140,182,176,176
"ENSG00000187010.14",849,775,329,463,1350,614
"ENSG00000224183.1",4,7,2,17,5,21
"ENSG00000259984.1",14,9,17,11,10,4
"ENSG00000183726.6",1324,1238,959,1375,1165,479
"ENSG00000188672.12",472,421,175,267,710,237
"ENSG00000204178.5",984,774,643,836,1015,697
"ENSG00000157978.7",639,596,696,814,840,641
"ENSG00000117643.10",15,36,12,22,24,21
"ENSG00000162430.12",457,376,384,580,506,452
"ENSG00000117640.13",729,693,933,1052,986,576
"ENSG00000223474.2",22,24,14,17,22,16
"ENSG00000127423.6",441,398,550,674,509,428
"ENSG00000236528.1",6,12,5,11,13,9
"ENSG00000182749.5",265,186,259,263,265,147
"ENSG00000117632.16",4579,3894,4750,5420,4319,3455
"ENSG00000158006.9",208,202,212,317,288,196
"ENSG00000158008.5",145,151,95,124,148,127
"ENSG00000158014.10",16,28,7,36,22,5
"ENSG00000158022.6",19,11,34,56,61,59
"ENSG00000175087.5",754,611,696,910,599,352
"ENSG00000197245.4",24,42,25,27,53,25
"ENSG00000142684.7",11,12,15,11,23,23
"ENSG00000236782.1",4,4,6,11,10,5
"ENSG00000142675.13",26,31,26,60,54,40
"ENSG00000188782.3",11,9,3,22,12,11
"ENSG00000130695.9",3322,2849,3600,4406,3466,2371
"ENSG00000270733.1",12,18,30,18,10,10
"ENSG00000142669.9",513,469,586,1031,1476,741
"ENSG00000158062.16",479,345,403,381,445,403
"ENSG00000169442.4",210,203,520,479,432,251
"ENSG00000176092.9",53,56,74,135,136,81
"ENSG00000176083.13",22,12,12,21,25,11
"ENSG00000131914.6",9,4,587,734,1399,828
"ENSG00000117682.12",562,429,738,869,812,591
"ENSG00000223583.1",5,10,4,14,28,13
"ENSG00000225891.1",20,10,37,29,37,31
"ENSG00000198830.6",3600,2808,2768,3997,4131,2897
"ENSG00000117676.9",1063,955,1456,1962,1618,1016
"ENSG00000260063.1",35,25,26,39,34,26
"ENSG00000117713.13",6783,6077,7068,8821,7390,7043
"ENSG00000266138.1",8,10,6,5,8,12
"ENSG00000060642.6",390,290,269,426,420,171
"ENSG00000204160.7",749,642,734,908,934,664
"ENSG00000175793.10",19,19,20,18,21,10
"ENSG00000142751.10",501,479,763,921,792,594
"ENSG00000198746.8",274,208,309,392,318,222
"ENSG00000090273.9",2291,1925,2479,3290,2518,1360
"ENSG00000175707.7",45,38,21,65,29,38
"ENSG00000253368.3",22,18,13,23,29,19
"ENSG00000158246.7",50,46,35,49,37,28
"ENSG00000090020.6",354,289,465,544,699,540
"ENSG00000225159.1",9,10,8,21,12,8
"ENSG00000142784.11",1320,1272,1819,2390,2073,1455
"ENSG00000186501.10",509,424,492,647,549,332
"ENSG00000241547.1",33,25,33,43,23,52
"ENSG00000142765.13",332,262,642,821,732,739
"ENSG00000142733.10",477,413,473,626,580,475
"ENSG00000142748.8",7,9,7,15,16,9
"ENSG00000174950.6",32,17,35,46,18,22
"ENSG00000181773.6",90,77,124,172,179,132
"ENSG00000158195.6",6357,5737,7046,9381,7409,4621
"ENSG00000241169.1",17,22,28,19,15,40
"ENSG00000237429.1",25,34,32,23,42,31
"ENSG00000126705.9",1049,925,1223,1603,1305,1288
"ENSG00000000938.8",9,15,14,11,17,9
"ENSG00000126709.10",39,40,69,96,66,64
"ENSG00000009780.11",224,203,211,239,208,109
"ENSG00000117758.9",427,345,527,624,443,333
"ENSG00000269971.1",6,3,7,22,11,6
"ENSG00000117751.13",697,584,767,1033,841,481
"ENSG00000252947.1",13,6,18,9,6,2
"ENSG00000130775.11",419,316,390,525,340,210
"ENSG00000117748.5",1301,1235,1531,1968,1589,595
"ENSG00000130768.10",18,23,42,54,29,25
"ENSG00000158156.7",102,112,123,180,135,74
"ENSG00000158161.11",1336,1299,2320,2905,2124,1294
"ENSG00000240750.2",10,11,10,11,11,12
"ENSG00000169403.7",27,23,10,19,10,16
"ENSG00000126698.6",1821,1411,1870,2129,1933,1201
"ENSG00000130770.13",1952,1848,2196,2931,2244,1339
"ENSG00000270605.1",42,38,58,57,26,34
"ENSG00000130766.4",1147,921,1587,2006,2053,1180
"ENSG00000130772.9",286,222,377,390,354,181
"ENSG00000204138.8",681,609,839,1179,938,757
"ENSG00000180198.11",1890,1648,2503,3185,2573,1402
"ENSG00000242125.2",5695,6141,8430,7475,7831,7825
"ENSG00000200087.1",1440,1755,2296,1577,1685,2791
"ENSG00000231468.2",28,6,19,14,12,28
"ENSG00000180098.5",576,488,683,838,769,560
"ENSG00000197989.9",757,654,942,1065,1094,908
"ENSG00000221539.1",7,4,11,15,23,10
"ENSG00000120656.7",450,352,498,590,464,283
"ENSG00000188060.6",9,17,8,12,9,6
"ENSG00000229388.1",12,10,10,8,17,6
"ENSG00000270103.2",32,30,42,57,49,18
"ENSG00000162419.8",292,222,417,493,437,336
"ENSG00000198492.10",1762,1479,1907,2175,1900,1301
"ENSG00000116329.6",11,2,7,19,11,1
"ENSG00000159023.14",10785,9409,8952,10281,10074,7973
"ENSG00000225616.2",13,20,13,10,18,8
"ENSG00000253304.1",25,38,33,41,35,48
"ENSG00000225750.1",10,3,10,5,6,8
"ENSG00000116350.11",4809,4096,3904,5088,4186,3177
"ENSG00000227637.1",45,25,23,25,18,24
"ENSG00000116353.11",545,478,618,697,583,414
"ENSG00000237934.1",32,18,27,31,19,36
"ENSG00000060656.15",103,109,1122,1481,276,165
"ENSG00000162510.5",41,46,54,70,78,70
"ENSG00000186056.5",276,215,283,350,357,310
"ENSG00000162511.7",1578,1363,1994,3197,3040,1400
"ENSG00000162512.11",1666,1536,1669,2522,2522,1813
"ENSG00000134644.11",3511,3122,3357,4423,3454,2381
"ENSG00000202107.1",11,16,16,23,25,8
"ENSG00000200181.1",7,7,14,7,11,3
"ENSG00000237329.2",19,22,23,17,17,19
"ENSG00000232768.1",13,17,17,12,8,8
"ENSG00000084628.5",9,10,3,23,16,1
"ENSG00000060688.8",1807,1687,1986,2370,1918,731
"ENSG00000229447.2",40,20,27,29,19,22
"ENSG00000121766.10",437,410,638,792,610,448
"ENSG00000229044.1",10,6,12,4,1,5
"ENSG00000121769.3",37,42,43,34,47,80
"ENSG00000168528.7",135,111,36,49,84,50
"ENSG00000142910.11",35,29,370,474,448,367
"ENSG00000121764.7",13,14,9,17,20,9
"ENSG00000162517.8",583,555,638,898,649,271
"ENSG00000235790.3",11,9,6,13,15,5
"ENSG00000084636.13",77,58,46,100,82,44
"ENSG00000121753.8",45,52,80,143,239,219
