ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1677162	1.57E-07	1.51E-08	1.24E+01	9.0896627	0.48949371	665821300	SRSF10	serine and arginine rich splicing factor 10
ILMN_1733094	1.59E-07	1.52E-08	-1.24E+01	9.0820356	-0.50693025	22027487	STEAP1	six transmembrane epithelial antigen of the prostate 1
ILMN_1731546	1.59E-07	1.52E-08	1.24E+01	9.0797468	0.46961058	78190467	RPL26	ribosomal protein L26
ILMN_2157020	1.59E-07	1.52E-08	1.24E+01	9.0779465	0.47199786	84872029	SNORD48	"small nucleolar RNA, C/D box 48"
ILMN_1655177	1.60E-07	1.53E-08	1.24E+01	9.0746018	0.46224545	NA		
ILMN_1748034	1.60E-07	1.53E-08	1.24E+01	9.0737915	0.6417428	296434230	KLHDC4	kelch domain containing 4
ILMN_1664168	1.61E-07	1.54E-08	1.24E+01	9.0661898	0.51032054	259155313	SLC25A11	solute carrier family 25 member 11
ILMN_1678353	1.61E-07	1.54E-08	1.24E+01	9.0652953	0.50901423	558472845	FARP1	"FERM, ARH/RhoGEF and pleckstrin domain protein 1"
ILMN_1742052	1.61E-07	1.54E-08	-1.24E+01	9.0640136	-0.59526488	380254460	SERPINB9	serpin family B member 9
ILMN_1708340	1.61E-07	1.55E-08	-1.24E+01	9.0619191	-0.47213368	570359573	DAPK1	death associated protein kinase 1
ILMN_1673637	1.62E-07	1.55E-08	1.24E+01	9.0600311	0.58763654	225579057	SLC10A4	solute carrier family 10 member 4
ILMN_2263466	1.63E-07	1.56E-08	-1.24E+01	9.0532693	-0.42752417	394025720	ACADVL	"acyl-CoA dehydrogenase, very long chain"
ILMN_2306077	1.63E-07	1.57E-08	-1.24E+01	9.0480382	-0.43931531	391738246	USP33	ubiquitin specific peptidase 33
ILMN_1671619	1.64E-07	1.57E-08	1.24E+01	9.0443102	0.78713622	70608169	HMX2	H6 family homeobox 2
ILMN_2352303	1.64E-07	1.57E-08	1.24E+01	9.0442376	0.53733464	25777676	RASSF2	Ras association domain family member 2
ILMN_3292163	1.64E-07	1.57E-08	1.24E+01	9.0427133	0.5128465	NA		
ILMN_1739805	1.64E-07	1.57E-08	-1.24E+01	9.0426886	-0.64800328	221316640	NDE1	nudE neurodevelopment protein 1
ILMN_3229324	1.64E-07	1.57E-08	-1.24E+01	9.0426716	-0.52775856	163644253	SGK1	serum/glucocorticoid regulated kinase 1
ILMN_2134062	1.64E-07	1.57E-08	-1.24E+01	9.0418422	-0.45591639	224586915	ALKBH3	"alkB homolog 3, alpha-ketoglutaratedependent dioxygenase"
ILMN_1756793	1.65E-07	1.58E-08	1.24E+01	9.0387051	0.45002647	284507291	PAPD7	"poly(A) RNA polymerase D7, non-canonical"
ILMN_1783676	1.65E-07	1.58E-08	-1.24E+01	9.0363371	-0.50722888	144922719	CCDC15	coiled-coil domain containing 15
ILMN_1702683	1.65E-07	1.58E-08	-1.24E+01	9.0354847	-0.58470125	300360494	SLC33A1	solute carrier family 33 member 1
ILMN_3243705	1.65E-07	1.58E-08	-1.24E+01	9.0347597	-0.50197893	550544210	PDXDC1	pyridoxal dependent decarboxylase domain containing 1
ILMN_1807095	1.65E-07	1.59E-08	1.24E+01	9.0326233	0.46719078	71892471	MRPS36	mitochondrial ribosomal protein S36
ILMN_1764415	1.65E-07	1.59E-08	-1.24E+01	9.03237	-0.49787193	571330739	ZNF585A	zinc finger protein 585A
ILMN_1793203	1.66E-07	1.59E-08	1.23E+01	9.0304718	0.54420053	752507726	MIEF1	mitochondrial elongation factor 1
ILMN_1813197	1.66E-07	1.59E-08	-1.23E+01	9.0297278	-0.45098795	40217824	SLITRK6	SLIT and NTRK like family member 6
ILMN_1703005	1.66E-07	1.60E-08	1.23E+01	9.0259881	0.57442971	NA		
ILMN_1693014	1.66E-07	1.60E-08	-1.23E+01	9.0252759	-0.45170223	356640243	CEBPB	CCAAT/enhancer binding protein beta
ILMN_2175075	1.66E-07	1.60E-08	1.23E+01	9.0238062	0.60283291	224282130	SRSF4	serine and arginine rich splicing factor 4
ILMN_2061405	1.66E-07	1.60E-08	1.23E+01	9.0232739	0.50477626	518831684	NUP54	nucleoporin 54
ILMN_1679978	1.66E-07	1.60E-08	1.23E+01	9.0232015	0.44235536	527122091	RCC1L	RCC1 like
ILMN_1770629	1.67E-07	1.61E-08	-1.23E+01	9.0205291	-0.45546744	221316691	SLC17A7	solute carrier family 17 member 7
ILMN_1728684	1.67E-07	1.61E-08	1.23E+01	9.0204221	0.51374686	155030231	PELP1	"proline, glutamate and leucine rich protein 1"
ILMN_1670238	1.68E-07	1.62E-08	-1.23E+01	9.0140879	-0.54613516	523498708	CDC45	cell division cycle 45
ILMN_2228809	1.68E-07	1.62E-08	1.23E+01	9.01295	0.60281163	194733744	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
ILMN_1760027	1.69E-07	1.62E-08	-1.23E+01	9.008369	-0.46475406	187608471	WAS	Wiskott-Aldrich syndrome
ILMN_1655468	1.69E-07	1.63E-08	-1.23E+01	9.0074153	-0.57388744	119964717	DSG3	desmoglein 3
ILMN_1684964	1.69E-07	1.63E-08	1.23E+01	9.0058266	0.44800125	300116290	ZNF212	zinc finger protein 212
ILMN_3264073	1.69E-07	1.63E-08	1.23E+01	9.002653	0.49028777	NA		
ILMN_2234343	1.70E-07	1.64E-08	1.23E+01	9.0008909	0.52650753	523498730	ACP6	"acid phosphatase 6, lysophosphatidic"
ILMN_2396813	1.70E-07	1.64E-08	1.23E+01	9.0006465	0.497388	571026651	BABAM1	BRISC and BRCA1 A complex member 1
ILMN_1720083	1.70E-07	1.64E-08	-1.23E+01	9.0000309	-0.66213458	237649102	EHD4	EH domain containing 4
ILMN_2112730	1.70E-07	1.64E-08	1.23E+01	8.9979966	0.43526889	148727258	SLC9A4	solute carrier family 9 member A4
ILMN_3235808	1.70E-07	1.64E-08	1.23E+01	8.9975001	0.53107363	526479836	POM121C	POM121 transmembrane nucleoporin C
ILMN_2392356	1.70E-07	1.64E-08	-1.23E+01	8.99742	-0.63730592	528881093	CTPS2	CTP synthase 2
ILMN_1772700	1.70E-07	1.64E-08	-1.23E+01	8.9953687	-0.44249821	40548390	TMEM18	transmembrane protein 18
ILMN_1713141	1.70E-07	1.65E-08	-1.23E+01	8.9946651	-0.52658598	NA		
ILMN_2249920	1.71E-07	1.65E-08	1.23E+01	8.9909964	0.42027815	343962631	FYN	"FYN proto-oncogene, Src family tyrosine kinase"
ILMN_2328280	1.71E-07	1.65E-08	-1.23E+01	8.9904519	-0.51441259	749502308	ACTL6A	actin like 6A
ILMN_2400947	1.71E-07	1.65E-08	1.23E+01	8.9894919	0.41453636	134152679	CELF2	"CUGBP, Elav-like family member 2"
ILMN_1790819	1.71E-07	1.65E-08	-1.23E+01	8.9893339	-0.48227809	NA		
ILMN_1760798	1.71E-07	1.65E-08	1.23E+01	8.9887854	0.45723531	112799846	RYR2	ryanodine receptor 2
ILMN_2278636	1.71E-07	1.66E-08	1.23E+01	8.987543	0.5060643	321400108	CUX1	cut like homeobox 1
ILMN_1689652	1.71E-07	1.66E-08	1.23E+01	8.9865941	0.53045543	962608793	MRM3	mitochondrial rRNA methyltransferase 3
