"ID","GEO2R_logFC","scripted_logFC","GEO2R_adjP","scripted_adjP"
"ILMN_1651535",-0.03923038,-0.0392303820000004,0.615,0.615058842459486
"ILMN_1651536",0.01812876,0.018128760333334,0.813,0.812747201397892
"ILMN_1651538",-0.21313583,-0.213135831666666,0.0118,0.0118257950173466
"ILMN_1651543",-0.02198429,-0.0219842943333335,0.752,0.75237637819025
"ILMN_1651544",-0.15031401,-0.15031401,0.00496,0.00496112255820195
"ILMN_1651547",0.01789834,0.0178983446666683,0.827,0.827052748672282
"ILMN_1651554",-0.00032821,-0.000328214333332966,0.997,0.997364286794724
"ILMN_1651557",-0.03656358,-0.0365635810000029,0.571,0.570824920844004
"ILMN_1651563",-0.00393416,-0.00393415833333144,0.97,0.969799751023684
"ILMN_1651565",0.02334176,0.0233417583333342,0.796,0.795950979688731
"ILMN_1651567",0.049277,0.0492770040000012,0.603,0.603283619623349
"ILMN_1651568",-0.06696347,-0.0669634713333336,0.215,0.215307158745431
"ILMN_1651569",0.05457024,0.0545702400000003,0.389,0.388996675344132
"ILMN_1651574",0.53855768,0.538557676666667,4.14e-05,4.13725467407221e-05
"ILMN_1651576",0.00074488,0.000744877999999893,0.993,0.993318882309877
"ILMN_1651582",-0.0507439,-0.0507438986666662,0.384,0.383585805270625
"ILMN_1651584",-0.0099923,-0.00999230199999879,0.906,0.90634292646717
"ILMN_1651597",0.05502658,0.0550265753333319,0.328,0.328372162216608
"ILMN_1651599",-0.03989694,-0.0398969436666654,0.614,0.61427476174943
"ILMN_1651604",-0.13189566,-0.131895657,0.0567,0.0566697597793446
"ILMN_1651606",0.04858871,0.0485887053333354,0.39,0.390090482698583
"ILMN_1651608",0.03097019,0.0309701856666686,0.638,0.63772518816177
"ILMN_1651609",0.01584447,0.0158444689999993,0.86,0.859709856505414
"ILMN_1651610",2.05318416,2.05318416033333,9.18e-15,9.17916052869321e-15
"ILMN_1651617",0.03456864,0.0345686433333334,0.581,0.581287191268145
"ILMN_1651624",0.04919891,0.0491989120000005,0.391,0.390950122685456
"ILMN_1651628",-0.63910812,-0.639108116333333,6.63e-08,6.63047792700084e-08
"ILMN_1651636",-0.02346489,-0.0234648916666682,0.746,0.745506744797677
"ILMN_1651637",-0.00038339,-0.000383385999998431,0.997,0.997380701479873
"ILMN_1651641",0.02997833,0.0299783309999997,0.667,0.666683444211675
"ILMN_1651642",0.86159315,0.861593151999999,4.97e-10,4.96578506768073e-10
"ILMN_1651643",-0.02117819,-0.0211781906666655,0.789,0.788603738548559
"ILMN_1651652",-0.18295835,-0.182958350000002,0.00296,0.0029559053781828
"ILMN_1651656",0.03215538,0.0321553836666668,0.624,0.624415711898591
"ILMN_1651657",0.05107566,0.0510756603333338,0.445,0.44505355536911
"ILMN_1651660",-0.05278288,-0.0527828806666673,0.384,0.383916924369981
"ILMN_1651662",-0.00157511,-0.00157510533333394,0.988,0.987652763251019
"ILMN_1651664",-0.05421208,-0.054212078666664,0.692,0.692237846502257
"ILMN_1651672",-0.00710955,-0.00710955066666497,0.939,0.93915933427959
"ILMN_1651680",-0.03540052,-0.035400516666666,0.721,0.720857013901661
"ILMN_1651681",0.00910242,0.00910242466666666,0.918,0.9180200970418
"ILMN_1651684",-0.23457871,-0.234578714,0.000217,0.000216552190501219
"ILMN_1651685",-0.01368355,-0.013683554,0.854,0.853645764639988
"ILMN_1651690",0.00345889,0.00345889466666804,0.973,0.972654492732704
"ILMN_1651692",0.20141857,0.201418571,0.000604,0.000603511300594788
"ILMN_1651693",-0.0183775,-0.0183774956666651,0.811,0.810776854763385
"ILMN_1651699",0.00431797,0.00431796833333564,0.966,0.966226611961685
"ILMN_1651705",-0.34373818,-0.343738175333332,0.00137,0.00137225741011084
"ILMN_1651708",0.03278332,0.0327833163333349,0.623,0.622925154046544
"ILMN_1651710",-0.0408143,-0.0408142969999998,0.497,0.496565953893259
"ILMN_1651711",0.04212679,0.0421267893333335,0.473,0.473296153950952
"ILMN_1651712",-0.32558053,-0.325580528333333,4.9e-05,4.9003142855224e-05
"ILMN_1651715",-0.05408061,-0.0540806056666669,0.348,0.348168927779542
"ILMN_1651717",-0.10392139,-0.103921393666665,0.108,0.108377355674123
"ILMN_1651719",-0.65295975,-0.652959753333334,9e-08,8.99897679251054e-08
"ILMN_1651727",-0.01394186,-0.0139418576666666,0.862,0.862221824840288
"ILMN_1651735",-0.68021755,-0.680217553333335,9.44e-09,9.43997668929343e-09
"ILMN_1651737",0.70354294,0.703542942000002,2.66e-09,2.65615657466899e-09
"ILMN_1651741",0.03860048,0.0386004773333362,0.706,0.705557674016862
"ILMN_1651745",0.07915284,0.0791528360000013,0.0931,0.0931250829964633
"ILMN_1651752",-0.05512479,-0.0551247936666694,0.398,0.398408656300639
"ILMN_1651758",0.00309417,0.00309416766666626,0.973,0.972933681461975
"ILMN_1651760",-0.04300924,-0.0430092443333354,0.545,0.545191591310975
"ILMN_1651763",-0.00908745,-0.00908745233333352,0.912,0.912077989431472
"ILMN_1651767",0.30507724,0.305077239999999,4.7e-05,4.70306423993465e-05
"ILMN_1651769",-0.21643669,-0.216436685666666,0.000887,0.000886677755553214
"ILMN_1651771",0.02323487,0.0232348663333335,0.722,0.722392752010048
"ILMN_1651776",0.23929276,0.239292754999999,0.000812,0.0008115702464782
"ILMN_1651787",-0.02352207,-0.0235220679999983,0.736,0.73635874640897
"ILMN_1651788",0.01659569,0.016595693666666,0.857,0.857333248995144
"ILMN_1651789",-4.07919029,-4.07919028933333,1.73e-16,1.73178617250095e-16
"ILMN_1651792",0.01049203,0.0104920290000008,0.898,0.898495082410773
"ILMN_1651799",-0.33933164,-0.339331640000001,5.59e-06,5.58973701815216e-06
"ILMN_1651800",-0.65564103,-0.655641026666666,1.42e-09,1.41854842340838e-09
"ILMN_1651806",0.00653849,0.00653848500000009,0.936,0.936128920261331
"ILMN_1651811",-0.02283049,-0.0228304936666666,0.803,0.803285906137615
"ILMN_1651817",-0.5353173,-0.535317298,2.33e-08,2.33350267613139e-08
"ILMN_1651819",0.45041783,0.450417831333334,6.97e-07,6.97179065401626e-07
"ILMN_1651826",-0.09453476,-0.094534763666668,0.266,0.266054188275936
"ILMN_1651828",0.36215324,0.362153243333335,1.99e-06,1.99282239909669e-06
"ILMN_1651832",-0.15697357,-0.156973569999998,0.0193,0.0193267043340428
"ILMN_1651838",0.02532921,0.0253292060000003,0.715,0.715417074489769
"ILMN_1651846",0.00878286,0.00878285833333159,0.92,0.919975651236741
"ILMN_1651848",0.0641266,0.0641265953333328,0.296,0.295574188124241
"ILMN_1651850",0.0024694,0.00246940333333434,0.981,0.980988669956104
"ILMN_1651865",0.00615458,0.00615458033333383,0.949,0.94936107483961
"ILMN_1651872",0.17292327,0.172923273333337,0.000873,0.000872570629812861
"ILMN_1651878",-0.04826941,-0.0482694060000002,0.483,0.48314608138525
"ILMN_1651886",0.26514376,0.265143760000004,0.000102,0.000102463562693686
"ILMN_1651899",0.03923847,0.0392384666666672,0.701,0.701338791427582
"ILMN_1651900",-0.01597312,-0.0159731153333338,0.838,0.83799311149986
"ILMN_1651902",0.12458305,0.124583053000001,0.0207,0.020747717592892
"ILMN_1651903",-0.00120195,-0.00120194599999923,0.991,0.991452878036289
"ILMN_1651905",0.01053755,0.0105375499999996,0.894,0.894212034120547
"ILMN_1651913",0.05251561,0.0525156056666667,0.459,0.459021463150756
"ILMN_1651916",-0.05456268,-0.0545626776666657,0.395,0.395054089112954
"ILMN_1651936",-0.66401251,-0.664012506666666,5.73e-07,5.72990680352336e-07
"ILMN_1651938",0.02811072,0.0281107196666674,0.716,0.715891416578575
"ILMN_1651940",0.02466613,0.0246661340000029,0.739,0.739045421872538
"ILMN_1651943",-0.02316877,-0.0231687743333335,0.774,0.774351996790096
"ILMN_1651944",-0.0892159,-0.0892158966666665,0.133,0.133270368783242
