target,candidate,n_probes,baseline_log2_expression,log2_variance_all_six,qualifies,distance
PPP2R5A,FLYWCH2,1,9.761102033333334,-4.426975972233532,True,0.1790829092266111
PPP2R5A,COPG2,1,9.767463661,-4.6316824213095265,True,0.18054945477114986
PPP2R5A,ECT2,1,10.149881363333334,-4.010000136132885,True,0.18268265098871048
PPP2R5A,DDX41,1,10.196497676666667,-4.935956932206924,True,0.1826940397198559
PPP2R5A,GALNT11,1,10.032503998666666,-3.977784458455868,False,0.18294392578322538
PPP2R5A,ZDHHC14,1,9.930123959,-4.014064357641495,True,0.18474957057025
PPP2R5A,SPHK2,1,10.30158648,-4.216180394754676,True,0.18565410459404702
PPP2R5A,ECHDC3,1,9.787870886999999,-4.215909823216183,False,0.18853265915787376
PPP2R5A,VPS52,1,9.919597664,-4.009590014877654,False,0.18885730037161222
PPP2R5A,SMAD4,1,9.944764060333334,-4.995297047378045,True,0.18964137515238802
PPP2R5A,KIF20A,1,10.249776516666667,-4.08817770360998,False,0.1906529879084676
PPP2R5A,C9orf69,1,10.269519956666665,-4.863492713165041,True,0.19067597775770945
PPP2R5A,POLR3B,1,9.765457211,-4.708330771009738,False,0.19096565832318133
PPP2R5A,NFE2L1,1,9.835661634666666,-4.884458344903471,True,0.19142937932081752
PPP2R5A,ALKBH3,1,9.951244874999999,-3.9777855888128633,True,0.1921981131664263
PPP2R5A,C1orf112,1,9.788496875999998,-4.792380803385186,False,0.19273168788240896
PPP2R5A,AHSA2,1,9.786202045333333,-4.190150976514155,True,0.19431457655312231
PPP2R5A,EIF2AK2,1,10.225998383333334,-4.040162982017562,True,0.19506036817888647
PPP2R5A,TMEM79,1,9.979237694666667,-5.029567019956196,True,0.19543498201208728
PPP2R5A,NMI,1,10.046033065666666,-3.941122748474171,False,0.19573172803292832
PPP2R5A,SUPT4H1,1,10.025999915,-3.931201972161642,False,0.19969486718614887
PPP2R5A,SLC25A46,1,10.142488506666668,-3.9530464198593602,False,0.20037049574569038
PPP2R5A,QSOX2,1,9.749394075333333,-4.267597818626797,False,0.20132311615082754
PPP2R5A,DOLPP1,1,9.724966343,-4.378788196490175,False,0.20400823645281116
PPP2R5A,UBE2J1,1,9.719044168666668,-4.529409958025218,True,0.20408722783556624
PPP2R5A,MUS81,1,10.18552607,-3.9690059919140914,True,0.20462328929359358
PPP2R5A,GRAMD1A,1,10.310263143333334,-4.841557850338723,False,0.2048544446811525
PPP2R5A,NARS2,1,10.329623423333333,-4.189453665944111,True,0.20543633310548964
PPP2R5A,ITGAE,1,10.38099651,-4.499700304135331,False,0.20692027366780913
PPP2R5A,MTFR1,1,10.105926593333333,-5.066380451344126,True,0.20708585169070004
PPP2R5A,MXD4,1,9.836961587333333,-4.032067195992067,True,0.20915783511828087
PPP2R5A,SLC35A4,1,10.065164133333333,-5.082167219680179,False,0.20977585014212402
PPP2R5A,BOD1,1,9.806075279333333,-4.076086806818172,False,0.21035549248075014
PPP2R5A,ZBTB22,1,9.710196085333333,-4.42150608886193,False,0.21065322335056047
PPP2R5A,POC1B,1,10.38884271,-4.476029919685442,False,0.21184852388709607
PPP2R5A,FDX1L,1,9.870756433666665,-5.002897666500568,False,0.21186524988034902
PPP2R5A,PIGT,1,10.385747983333333,-4.409501392119264,True,0.21189935496500314
PPP2R5A,NRBF2,1,9.729282736,-4.722790625205931,True,0.21361833557592957
PPP2R5A,LRRC8D,1,9.820779424333333,-4.033997131690728,True,0.2150447656409236
PPP2R5A,TFB1M,1,10.372582386666666,-4.278492428887087,True,0.2155009997575879
PPP2R5A,KIF20B,1,10.062612416666665,-3.879377124314258,False,0.21786169182621765
PPP2R5A,PAQR3,1,10.233454296666666,-3.9648416462172182,False,0.2199984759104298
PPP2R5A,MRPL48,1,10.403703256666667,-4.49448815488921,False,0.22098833046069116
PPP2R5A,C12orf45,1,9.746205127333333,-4.154620490073559,False,0.2219872503308595
PPP2R5A,GPT2,1,10.330635173333333,-4.109404073033816,True,0.22214094664391043
PPP2R5A,LMNB1,1,10.107787693333334,-5.11269628190733,True,0.22348841049591286
PPP2R5A,FAM32A,1,10.408104703333334,-4.507967037087851,False,0.22378623704103334
PPP2R5A,UBR2,1,10.246610246666666,-5.020090710956833,True,0.22449850401957416
PPP2R5A,BFAR,1,10.365952126666667,-4.794931582200981,True,0.22491573745335003
PPP2R5A,TNFRSF1A,1,9.844945412333333,-5.026059861673988,False,0.22738067549748958
PPP2R5A,GRSF1,1,10.30292981,-4.030071205915605,False,0.2281659766469347
PPP2R5A,ARFGAP2,1,9.768441912,-4.072573177856357,False,0.22836857730467403
PPP2R5A,C11orf74,1,9.932043555333335,-3.8778920208584347,False,0.22961765338109746
PPP2R5A,CRIPT,1,9.722392280666666,-4.804797807423841,False,0.23011698397481917
PPP2R5A,CYB5R1,1,10.271236833333333,-5.011288578673601,True,0.23074911175130972
PPP2R5A,FASTKD5,1,9.699631849,-4.723805776936419,False,0.2308406509697494
PPP2R5A,FDPS,1,10.347324376666668,-4.107353533426523,True,0.23084419171655815
PPP2R5A,YPEL5,1,10.37735539,-4.1912031200722755,True,0.23089260964395983
PPP2R5A,RNF220,1,9.943106049333334,-3.862323142577652,False,0.2328791488138792
PPP2R5A,TMEM101,1,10.421562273333334,-4.547376724445536,False,0.23288718558837793
PPP2R5A,SMAD6,1,10.264505873333334,-3.956915836032836,False,0.2329749669586546
PPP2R5A,LINC00221,1,9.957456121,-3.853803901234309,False,0.23350200539818783
PPP2R5A,KIAA0430,1,10.267995476666668,-5.028818720455912,True,0.23457332797999667
PPP2R5A,COX14,1,9.668801832999998,-4.4810481899856995,False,0.23485650763996704
PPP2R5A,CDR2,1,10.10893895,-5.145686223864911,True,0.23516141347792888
PPP2R5A,ZMYND19,1,10.39238206,-4.768548811163145,False,0.23538701574818802
PPP2R5A,HSDL2,1,10.051803609999999,-5.155846002596707,True,0.23566766314621637
PPP2R5A,MRPS2,1,10.41685469,-4.695664142489233,False,0.24025796048210557
PPP2R5A,VAMP3,1,10.416820686666666,-4.282343651787564,False,0.24094685947563996
PPP2R5A,POLG2,1,10.000793317333333,-3.818261805343112,True,0.24110083642250502
PPP2R5A,ZPR1,1,10.423125523333335,-4.676413526017852,True,0.24203436288638847
PPP2R5A,WASL,1,9.665734774333332,-4.641119650682613,True,0.24255453790676318
PPP2R5A,XPO7,1,9.936176851,-5.147409373756687,True,0.24266864386735773
PPP2R5A,SLC29A2,1,10.192003093333334,-3.857000303903755,True,0.24277635424792268
PPP2R5A,MTOR,1,10.43428625,-4.3656573931790295,False,0.2441322836995285
PPP2R5A,SMARCAL1,1,9.843842483666666,-5.088925079190016,False,0.24665082557401252
PPP2R5A,CNOT10,1,10.437109163333334,-4.345363265148984,True,0.2472730783947342
PPP2R5A,SHTN1,1,9.767865113,-4.990569565448604,True,0.24773933617321772
