"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1704692",0.0223612713333328,7.25566328066667,0.601702728352236,0.557787973355759,0.764332350582642,-8.49638188176119
"ILMN_1704702",0.380131603666669,9.90704300816667,7.63295223169172,3.87976013559883e-06,2.35432938683351e-05,3.17714358746256
"ILMN_1704704",-1.073030122,8.27775801133333,-21.5374681785087,1.67239691452076e-11,4.33461049884953e-10,16.3482595989516
"ILMN_1704713",-0.392843971333333,8.56575045833333,-9.4149857857182,3.80345855631914e-07,2.85096386357236e-06,5.6455136598042
"ILMN_1704730",0.0168128296666668,7.19426967316667,0.449030483303714,0.660852438079687,0.834182144427166,-8.58093298546402
"ILMN_1704750",-0.0654147599999977,14.1634984766667,-1.96864297040533,0.070838366713455,0.181952689219988,-6.86343455881673
"ILMN_1704751",-0.00910282066666568,7.16056147166667,-0.215186651503049,0.832982884944589,0.927237336142894,-8.66379033217839
"ILMN_1704753",-1.933072353,8.2692804445,-44.4521114374285,1.63720498949498e-15,1.98749951719592e-13,26.0641129090177
"ILMN_1704754",-0.0256285803333336,7.22204501683333,-0.597084208164077,0.560774287807281,0.766793449860725,-8.49928299243144
"ILMN_1704760",1.20972305366667,8.58189439816667,28.3155486392886,5.23351850689858e-13,2.35598135797208e-11,20.0255575748676
"ILMN_1704761",0.0214753646666654,7.22922249833333,0.56473572352285,0.581930850743251,0.781693272342372,-8.51900806880848
"ILMN_1704765",0.0973677296666668,7.52030019183333,2.54411226014777,0.0245649156761035,0.0729577995580274,-5.86326374835666
"ILMN_1704779",0.00561650666666846,7.23275566433333,0.138841652701854,0.89171701838842,0.955862186392981,-8.67831001675238
"ILMN_1704785",0.485681373000002,8.85126822983333,13.672203877537,4.66709987915232e-09,5.59889756200931e-08,10.3402135082273
"ILMN_1704789",-0.139464561333335,7.57368840033333,-3.93810018195001,0.00172000705828707,0.00643736640684383,-3.2028019913287
"ILMN_1704790",0.0385093773333329,7.35444455666667,0.913798279128774,0.377568178982858,0.614342917558598,-8.25291116465481
"ILMN_1704793",-1.04963208433333,9.72641456783333,-27.3138074944248,8.27388560119842e-13,3.43035732875674e-11,19.5408366065817
"ILMN_1704795",0.288866873000002,8.69567462983333,7.80343605699209,3.05875473593564e-06,1.89807588561221e-05,3.42933762652496
"ILMN_1704797",0.020290812999999,7.34094467383333,0.561333821457509,0.584179856407492,0.783524742319222,-8.52102175597588
"ILMN_1704812",-0.0108774126666669,7.20768706466667,-0.264638787362788,0.795464382579342,0.908916833867094,-8.65106830882316
"ILMN_1704842",-0.393767755,8.10965196516667,-10.7817449468259,7.94748683820459e-08,6.94879042696788e-07,7.31415380906502
"ILMN_1704856",0.0702694306666665,7.31941470866667,1.95983018350494,0.0719573652548165,0.184155791211153,-6.87778983956139
"ILMN_1704858",0.0126115990000004,7.30005138183333,0.322603651579742,0.752158785295142,0.886708393329281,-8.63285855562532
"ILMN_1704859",0.0234695666666669,7.18161180966667,0.605165262740082,0.555554808429782,0.762799544049067,-8.49419304006676
"ILMN_1704861",0.00579202266666812,7.23471034433333,0.169094699420656,0.868342019211023,0.944685502290762,-8.67330199967207
"ILMN_1704868",0.00949645466666649,7.27412589466667,0.249663442734855,0.806774893267452,0.914857621380484,-8.65519512120369
"ILMN_1704870",0.0217140023333329,7.31183052383333,0.573903857030722,0.575892420047533,0.777599135994046,-8.51352355660705
"ILMN_1704873",0.31291635,10.5016789516667,6.32445594286121,2.72171974562209e-05,0.000139522114141893,1.11703844662213
"ILMN_1704876",1.21152624733333,10.258912263,23.0124609958162,7.25488250179873e-12,2.14391311878874e-10,17.2367886145666
"ILMN_1704904",-0.0592204300000008,7.216211141,-1.33311529398681,0.205534833697041,0.414572503488612,-7.79193989908326
"ILMN_1704908",0.0365547586666688,7.53072546833333,1.07523700044015,0.301947539152574,0.535524248531586,-8.09234749398922
"ILMN_1704916",-0.00245878133333477,7.24059485233333,-0.0682368999327435,0.946642268026899,0.97857798415071,-8.6861769750982
