target,candidate,n_probes,baseline_log2_expression,log2_variance_all_six,log2_variance_within_group,qualifies,distance
PPP2R5A,AMD1,1,9.717685840333333,-6.486131575412493,-8.059481024041746,False,0.22454229620924215
PPP2R5A,PIGU,1,10.296755106666668,-5.440431492081653,-7.953917072465315,True,0.2297138537399604
PPP2R5A,SLC5A6,1,10.41808022,-4.108271303752265,-8.189821635622494,False,0.22991769542301402
PPP2R5A,CDC25B,1,10.094777156666666,-4.551628916094397,-8.499169248159143,True,0.2304172951382201
PPP2R5A,POLR2B,1,10.19309013,-2.108967614952461,-7.894915101389797,False,0.23134044788235553
PPP2R5A,BRI3,1,9.929864138333334,-1.720916945981899,-7.884722670574659,False,0.23215549598920276
PPP2R5A,PNO1,1,9.690066936,-7.140317801692323,-8.08876664218206,False,0.23282770694175792
PPP2R5A,COA6,1,9.689087938,-7.718793557163298,-8.089138603333907,False,0.23332288509724483
PPP2R5A,NAA50,1,9.675221813,-5.859054061723182,-8.239567966851935,False,0.23408840025016361
PPP2R5A,INTS12,1,10.089441299999999,-1.6491296118934369,-8.504952074729227,False,0.2342172271975943
PPP2R5A,C17orf53,1,10.19692775,-8.43577943344045,-8.481924586046214,False,0.2350083668422029
PPP2R5A,RPS6KB1,1,10.308865763333333,-6.834565989442213,-7.9532154099081485,True,0.23520766204668553
PPP2R5A,MIEF1,1,10.205840993333334,-3.4389260688395686,-7.893602440392598,False,0.23541360616259505
PPP2R5A,RBM17,1,9.811803078666665,-3.753553931912191,-8.43912364300881,False,0.23548740031626858
PPP2R5A,PNP,1,10.42459673,-2.2098261081760646,-8.139074436397536,False,0.23648590664393393
PPP2R5A,NT5C3B,1,10.271808479999999,-5.693783482030001,-7.923479427162173,True,0.23721620947582275
PPP2R5A,FNBP4,1,10.228442673333333,-7.460855736540964,-8.472800828005186,False,0.23749076568560268
PPP2R5A,DHX32,1,10.295106713333334,-3.5963709238943014,-8.436855606586686,True,0.23894390438908814
PPP2R5A,ZNF524,1,9.660461344666667,-2.328913997346594,-8.159067940130532,True,0.24082428827554217
PPP2R5A,CDH12,1,9.710980882333333,0.9212223691714725,-8.353810169516198,True,0.2418764014142854
PPP2R5A,FOXL2NB,1,9.649961917333334,-8.304757117758626,-8.14378340072324,False,0.24846533664813011
PPP2R5A,ITGA5,1,10.198156766666665,-5.8240070707194285,-8.503107730445123,True,0.24958924363997537
PPP2R5A,ELOF1,1,9.951718352333334,-2.175962113342603,-7.8536871220536595,False,0.25022783633827944
PPP2R5A,TM9SF4,1,10.446836826666667,-4.070487024645373,-8.133893733122305,False,0.25069104231160727
PPP2R5A,OXR1,1,10.197424876666666,-8.155564545634634,-7.867286183313451,False,0.25103251367251855
PPP2R5A,POLRMT,1,10.145909080000001,-1.3664237195092632,-7.852650571583503,False,0.25138226641060457
PPP2R5A,GOLGA2,1,9.680740513333333,-3.205374593539631,-8.333957846169552,True,0.2516841560908386
PPP2R5A,WDR6,1,10.453479190000001,-2.946669003886156,-8.185021348415475,False,0.2518615492038919
PPP2R5A,ANKS1A,1,9.695888402333333,-8.09334972238808,-8.358970972785864,False,0.25186323260940374
PPP2R5A,NR2C2AP,1,9.959382432333333,-7.052967391488508,-8.523881182960931,True,0.2525636314152667
PPP2R5A,PSMD5,1,9.710199144333334,-6.86108288881669,-7.990982749876886,True,0.25323161454156534
PPP2R5A,PPOX,1,10.45706662,-0.40087922482980737,-8.192875190019503,False,0.254128849591199
PPP2R5A,SSRP1,1,10.019665222999999,-6.140688293189476,-7.839347395111602,False,0.25414831877997807
PPP2R5A,CCDC189,1,9.638748348999998,-2.042881897718441,-8.221447573180901,True,0.2547541267287128
PPP2R5A,CHUK,1,9.784268023333334,-6.091493693748474,-7.918664776312187,False,0.25475552233198473
PPP2R5A,FLNB,1,9.674009886666667,-7.168830437882856,-8.332072020481823,True,0.2548839679470282
PPP2R5A,AARS2,1,9.763781196333332,-6.932670871734014,-7.928835275019786,True,0.2575993649454597
PPP2R5A,DNAJB1,1,9.633449155,-3.5552511024134446,-8.238355632288537,False,0.25954225023165295
PPP2R5A,TM7SF3,1,9.783325789666668,-8.205585228588715,-7.9105412284977685,False,0.25970909292268307
PPP2R5A,NCOA7,1,10.464959106666667,-3.033391737057996,-8.14965684706573,True,0.2603665102784247
PPP2R5A,PRG2,1,10.372067363333334,0.26792044357265565,-8.412481270546818,True,0.2604576723381208
PPP2R5A,SPRED1,1,10.460805513333334,-2.9630254328415937,-8.254892366634142,True,0.26124366834791357
PPP2R5A,DERL1,1,10.464205380000001,-7.925179331367568,-8.241030239834346,False,0.26157733189093113
PPP2R5A,GRAMD1A,1,10.310263143333334,-4.841557850338723,-8.466571328042278,False,0.2617045143833992
PPP2R5A,TRMT12,1,10.249202983333333,-4.383457468734564,-7.8708175118646375,False,0.2623517523797225
PPP2R5A,RBM15,1,10.164608326666666,-6.7145994221587975,-8.532311154429857,True,0.2629973674333466
PPP2R5A,RNGTT,1,10.444322306666667,-7.626305669580566,-8.059690581083116,False,0.26300948253871814
PPP2R5A,WDR41,1,10.44282465,-7.869301298040319,-8.32145455625677,False,0.2643626208866927
PPP2R5A,STX10,1,9.664018909333334,-5.264457458681852,-8.345322823066635,False,0.2646306358189873
PPP2R5A,GOLGA5,1,9.661405116666666,-7.052234078125648,-8.341086348558651,True,0.26475204834287075
PPP2R5A,WASL,1,9.665734774333332,-4.641119650682613,-8.352228743185924,True,0.2659356399392471
PPP2R5A,JARID2,1,10.357585316666666,-6.805718775030584,-7.933836964736594,True,0.2665729008339346
PPP2R5A,PFDN1,1,10.436550076666668,-4.656440079302046,-8.342021683237247,False,0.2668065809732615
PPP2R5A,NUBPL,1,9.649867568333333,-7.2911445179437235,-8.043773307703585,False,0.267680216429264
PPP2R5A,RBM5,1,10.227210046666666,-4.457315431720374,-7.8529276771209595,False,0.26795247420505725
PPP2R5A,C9orf69,1,10.269519956666665,-4.863492713165041,-7.87127092539645,True,0.2683075416326478
PPP2R5A,CHD1,1,10.461931133333334,-6.972833157206774,-8.072488865850115,False,0.2702346752668295
PPP2R5A,RRP12,1,9.625579642,-3.543488159104037,-8.086307160938512,False,0.27165690131106035
PPP2R5A,WDSUB1,1,10.467486453333334,-2.417824364755344,-8.07447429663803,True,0.27307699143718966
PPP2R5A,CARD9,1,10.459920973333334,-0.0777890957115063,-8.326468239415616,True,0.2755678419876936
PPP2R5A,TIMM8A,1,9.645420118999999,-8.673011056268017,-8.352611464812405,False,0.2773332716084508
PPP2R5A,GPSM2,1,10.017227513333333,-0.4393698591319295,-8.565291604096833,True,0.27748101688742854
PPP2R5A,BRD3,1,9.653303556666666,-8.607560023777806,-8.371975467621464,False,0.2795288695743214
PPP2R5A,SPDL1,1,10.387718356666667,-7.522050952803682,-7.933944727426599,False,0.28030775613490994
PPP2R5A,KLHL36,1,10.396609423333333,-2.3844206698207455,-7.9418049632169625,True,0.2807938005553662
PPP2R5A,DUSP1,1,9.593734134333333,-1.4594739116352078,-8.193078789394225,False,0.2814245547993978
PPP2R5A,RAD54L,1,9.595028243,-6.665354854496779,-8.22225614562616,False,0.28180082327732053
PPP2R5A,TMCO3,1,9.926672098666666,-3.12477792783033,-8.558306671473659,True,0.28187419319110707
PPP2R5A,YTHDF1,1,10.154931153333333,-3.085179218400533,-7.8115358849561645,False,0.2818883870798061
PPP2R5A,ZBTB17,1,9.612261621666667,-8.589847486457431,-8.298386563871379,False,0.282024382448215
PPP2R5A,MBOAT7,1,10.396523693333334,-1.8967138511576365,-8.434271200443671,True,0.2822956067092127
PPP2R5A,NELFE,1,9.914656046666666,-8.124569227676307,-7.816259742618336,False,0.28269051786306465
PPP2R5A,IPO9,1,9.754875685333333,-7.593665008210897,-8.48351420078103,False,0.2829326242639679
PPP2R5A,TLN1,1,10.122308876666667,-8.33923587789555,-8.568819913552051,False,0.2832625667852818
PPP2R5A,SMIM13,1,9.747644936,-1.8347692276654481,-7.893824737729021,True,0.28330313891040676
PPP2R5A,NUDT16L1,1,9.599685340666667,-7.8969935465167485,-8.267950340130785,False,0.2840138351588936
PPP2R5A,TANGO2,1,9.717382140666667,-7.924903474627692,-7.916273194942294,False,0.28434001708815704
PPP2R5A,ZUFSP,1,9.690387189666668,-6.3994375704235535,-8.432787931192358,False,0.2853870996951052
PPP2R5A,EIF4EBP2,1,9.623062414666665,-4.190279399014392,-8.034539342429365,False,0.2856207422156377
PPP2R5A,SDHAP2,1,10.022897394666666,-5.462564562385532,-7.794063936277486,True,0.2870545584902906
PPP2R5A,CUL2,1,10.511145443333334,-6.211672565537496,-8.207505161575263,False,0.28803967243676476
PPP2R5A,C9orf66,1,10.084877060000002,0.4567447453854379,-7.792401359342266,True,0.28880318293534296
PPP2R5A,PASD1,1,9.705741771666666,0.873989868462881,-7.917568045301325,True,0.2889367817697645
PPP2R5A,IL13RA1,1,10.187350700000001,-2.0765709452714707,-7.808804796820889,True,0.28921342716148546
